energy_system_scenario,freight_demand_scenario,year,region,technology,freight_ton_mile_travel
Reference/business as usual,Agricultural Shift,2025,north_west,catenary,209000000000.0
Reference/business as usual,Agricultural Shift,2025,north_west,battery,195000000000.0
Reference/business as usual,Agricultural Shift,2025,south_east,diesel,174000000000.0
Reference/business as usual,Agricultural Shift,2025,south_east,hydrogen,171000000000.0
Reference/business as usual,Agricultural Shift,2025,south_east,biodiesel,152000000000.0
Reference/business as usual,Agricultural Shift,2025,south_east,catenary,163000000000.0
Reference/business as usual,Agricultural Shift,2025,south_east,battery,212000000000.0
Reference/business as usual,Agricultural Shift,2025,south_west,diesel,206000000000.0
Reference/business as usual,Agricultural Shift,2025,south_west,hydrogen,174000000000.0
Reference/business as usual,Agricultural Shift,2025,south_west,biodiesel,207000000000.0
Reference/business as usual,Agricultural Shift,2025,south_west,catenary,215000000000.0
Reference/business as usual,Agricultural Shift,2025,south_west,battery,199000000000.0
Reference/business as usual,Agricultural Shift,2025,texas,diesel,150000000000.0
Reference/business as usual,Agricultural Shift,2025,texas,hydrogen,178000000000.0
Reference/business as usual,Agricultural Shift,2025,texas,biodiesel,201000000000.0
Reference/business as usual,Agricultural Shift,2025,texas,catenary,179000000000.0
Reference/business as usual,Agricultural Shift,2025,texas,battery,198000000000.0
Reference/business as usual,Agricultural Shift,2030,california,diesel,170000000000.0
Reference/business as usual,Agricultural Shift,2030,california,hydrogen,189000000000.0
Reference/business as usual,Agricultural Shift,2030,california,biodiesel,156000000000.0
Reference/business as usual,Agricultural Shift,2030,california,catenary,197000000000.0
Reference/business as usual,Agricultural Shift,2030,california,battery,208000000000.0
Reference/business as usual,Agricultural Shift,2030,central,diesel,212000000000.0
Reference/business as usual,Agricultural Shift,2030,central,hydrogen,153000000000.0
Reference/business as usual,Agricultural Shift,2030,central,biodiesel,148000000000.0
Reference/business as usual,Agricultural Shift,2030,central,catenary,182000000000.0
Reference/business as usual,Agricultural Shift,2030,central,battery,213000000000.0
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,diesel,164000000000.0
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,hydrogen,191000000000.0
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,biodiesel,149000000000.0
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,catenary,171000000000.0
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,battery,170000000000.0
Reference/business as usual,Agricultural Shift,2030,north_central,diesel,153000000000.0
Reference/business as usual,Agricultural Shift,2030,north_central,hydrogen,173000000000.0
Reference/business as usual,Agricultural Shift,2030,north_central,biodiesel,182000000000.0
Reference/business as usual,Agricultural Shift,2030,north_central,catenary,168000000000.0
Reference/business as usual,Agricultural Shift,2030,north_central,battery,206000000000.0
Reference/business as usual,Agricultural Shift,2030,north_east,diesel,191000000000.0
Reference/business as usual,Agricultural Shift,2030,north_east,hydrogen,209000000000.0
Reference/business as usual,Agricultural Shift,2030,north_east,biodiesel,159000000000.0
Reference/business as usual,Agricultural Shift,2030,north_east,catenary,149000000000.0
Reference/business as usual,Agricultural Shift,2030,north_east,battery,149000000000.0
Reference/business as usual,Agricultural Shift,2030,north_west,diesel,198000000000.0
Reference/business as usual,Agricultural Shift,2030,north_west,hydrogen,157000000000.0
Reference/business as usual,Agricultural Shift,2030,north_west,biodiesel,193000000000.0
Reference/business as usual,Agricultural Shift,2030,north_west,catenary,201000000000.0
Reference/business as usual,Agricultural Shift,2030,north_west,battery,155000000000.0
Reference/business as usual,Agricultural Shift,2030,south_east,diesel,182000000000.0
Reference/business as usual,Agricultural Shift,2030,south_east,hydrogen,207000000000.0
Reference/business as usual,Agricultural Shift,2030,south_east,biodiesel,168000000000.0
Reference/business as usual,Agricultural Shift,2030,south_east,catenary,191000000000.0
Reference/business as usual,Agricultural Shift,2030,south_east,battery,152000000000.0
Reference/business as usual,Agricultural Shift,2030,south_west,diesel,175000000000.0
Reference/business as usual,Agricultural Shift,2030,south_west,hydrogen,160000000000.0
Reference/business as usual,Agricultural Shift,2030,south_west,biodiesel,194000000000.0
Reference/business as usual,Agricultural Shift,2030,south_west,catenary,178000000000.0
Reference/business as usual,Agricultural Shift,2030,south_west,battery,207000000000.0
Reference/business as usual,Agricultural Shift,2030,texas,diesel,190000000000.0
Reference/business as usual,Agricultural Shift,2030,texas,hydrogen,209000000000.0
Reference/business as usual,Agricultural Shift,2030,texas,biodiesel,194000000000.0
Reference/business as usual,Agricultural Shift,2030,texas,catenary,175000000000.0
Reference/business as usual,Agricultural Shift,2030,texas,battery,178000000000.0
Reference/business as usual,Agricultural Shift,2035,california,diesel,147000000000.0
Reference/business as usual,Agricultural Shift,2035,california,hydrogen,198000000000.0
Reference/business as usual,Agricultural Shift,2035,california,biodiesel,203000000000.0
Reference/business as usual,Agricultural Shift,2035,california,catenary,145000000000.0
Reference/business as usual,Agricultural Shift,2035,california,battery,171000000000.0
Reference/business as usual,Agricultural Shift,2035,central,diesel,150000000000.0
Reference/business as usual,Agricultural Shift,2035,central,hydrogen,156000000000.0
Reference/business as usual,Agricultural Shift,2035,central,biodiesel,206000000000.0
Reference/business as usual,Agricultural Shift,2035,central,catenary,164000000000.0
Reference/business as usual,Agricultural Shift,2035,central,battery,151000000000.0
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,diesel,153000000000.0
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,hydrogen,152000000000.0
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,biodiesel,163000000000.0
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,catenary,207000000000.0
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,battery,178000000000.0
Reference/business as usual,Agricultural Shift,2035,north_central,diesel,207000000000.0
Reference/business as usual,Agricultural Shift,2035,north_central,hydrogen,173000000000.0
Reference/business as usual,Agricultural Shift,2035,north_central,biodiesel,202000000000.0
Reference/business as usual,Agricultural Shift,2035,north_central,catenary,211000000000.0
Reference/business as usual,Agricultural Shift,2035,north_central,battery,155000000000.0
Reference/business as usual,Agricultural Shift,2035,north_east,diesel,166000000000.0
Reference/business as usual,Agricultural Shift,2035,north_east,hydrogen,192000000000.0
Reference/business as usual,Agricultural Shift,2035,north_east,biodiesel,192000000000.0
Reference/business as usual,Agricultural Shift,2035,north_east,catenary,186000000000.0
Reference/business as usual,Agricultural Shift,2035,north_east,battery,169000000000.0
Reference/business as usual,Agricultural Shift,2035,north_west,diesel,156000000000.0
Reference/business as usual,Agricultural Shift,2035,north_west,hydrogen,174000000000.0
Reference/business as usual,Agricultural Shift,2035,north_west,biodiesel,170000000000.0
Reference/business as usual,Agricultural Shift,2035,north_west,catenary,187000000000.0
Reference/business as usual,Agricultural Shift,2035,north_west,battery,204000000000.0
Reference/business as usual,Agricultural Shift,2035,south_east,diesel,184000000000.0
Reference/business as usual,Agricultural Shift,2035,south_east,hydrogen,183000000000.0
Reference/business as usual,Agricultural Shift,2035,south_east,biodiesel,200000000000.0
Reference/business as usual,Agricultural Shift,2035,south_east,catenary,172000000000.0
Reference/business as usual,Agricultural Shift,2035,south_east,battery,203000000000.0
Reference/business as usual,Agricultural Shift,2035,south_west,diesel,188000000000.0
Reference/business as usual,Agricultural Shift,2035,south_west,hydrogen,146000000000.0
Reference/business as usual,Agricultural Shift,2035,south_west,biodiesel,150000000000.0
Reference/business as usual,Agricultural Shift,2035,south_west,catenary,205000000000.0
Reference/business as usual,Agricultural Shift,2035,south_west,battery,188000000000.0
Reference/business as usual,Agricultural Shift,2035,texas,diesel,171000000000.0
Reference/business as usual,Agricultural Shift,2035,texas,hydrogen,157000000000.0
Reference/business as usual,Agricultural Shift,2035,texas,biodiesel,197000000000.0
Reference/business as usual,Agricultural Shift,2035,texas,catenary,196000000000.0
Reference/business as usual,Agricultural Shift,2035,texas,battery,147000000000.0
Reference/business as usual,Agricultural Shift,2040,california,diesel,188000000000.0
Reference/business as usual,Agricultural Shift,2040,california,hydrogen,208000000000.0
Reference/business as usual,Agricultural Shift,2040,california,biodiesel,207000000000.0
Reference/business as usual,Agricultural Shift,2040,california,catenary,169000000000.0
Reference/business as usual,Agricultural Shift,2040,california,battery,178000000000.0
Reference/business as usual,Agricultural Shift,2040,central,diesel,150000000000.0
Reference/business as usual,Agricultural Shift,2040,central,hydrogen,185000000000.0
Reference/business as usual,Agricultural Shift,2040,central,biodiesel,196000000000.0
Reference/business as usual,Agricultural Shift,2040,central,catenary,149000000000.0
Reference/business as usual,Agricultural Shift,2040,central,battery,189000000000.0
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,diesel,148000000000.0
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,hydrogen,171000000000.0
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,biodiesel,202000000000.0
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,catenary,214000000000.0
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,battery,189000000000.0
Reference/business as usual,Agricultural Shift,2040,north_central,diesel,182000000000.0
Reference/business as usual,Agricultural Shift,2040,north_central,hydrogen,203000000000.0
Reference/business as usual,Agricultural Shift,2040,north_central,biodiesel,201000000000.0
Reference/business as usual,Agricultural Shift,2040,north_central,catenary,156000000000.0
Reference/business as usual,Agricultural Shift,2040,north_central,battery,155000000000.0
Reference/business as usual,Agricultural Shift,2040,north_east,diesel,176000000000.0
Reference/business as usual,Agricultural Shift,2040,north_east,hydrogen,174000000000.0
Reference/business as usual,Agricultural Shift,2040,north_east,biodiesel,174000000000.0
Reference/business as usual,Agricultural Shift,2040,north_east,catenary,153000000000.0
Reference/business as usual,Agricultural Shift,2040,north_east,battery,198000000000.0
Reference/business as usual,Agricultural Shift,2040,north_west,diesel,207000000000.0
Reference/business as usual,Agricultural Shift,2040,north_west,hydrogen,209000000000.0
Reference/business as usual,Agricultural Shift,2040,north_west,biodiesel,156000000000.0
Reference/business as usual,Agricultural Shift,2040,north_west,catenary,174000000000.0
Reference/business as usual,Agricultural Shift,2040,north_west,battery,178000000000.0
Reference/business as usual,Agricultural Shift,2040,south_east,diesel,200000000000.0
Reference/business as usual,Agricultural Shift,2040,south_east,hydrogen,168000000000.0
Reference/business as usual,Agricultural Shift,2040,south_east,biodiesel,188000000000.0
Reference/business as usual,Agricultural Shift,2040,south_east,catenary,161000000000.0
Reference/business as usual,Agricultural Shift,2040,south_east,battery,192000000000.0
Reference/business as usual,Agricultural Shift,2040,south_west,diesel,182000000000.0
Reference/business as usual,Agricultural Shift,2040,south_west,hydrogen,190000000000.0
Reference/business as usual,Agricultural Shift,2040,south_west,biodiesel,205000000000.0
Reference/business as usual,Agricultural Shift,2040,south_west,catenary,155000000000.0
Reference/business as usual,Agricultural Shift,2040,south_west,battery,175000000000.0
Reference/business as usual,Agricultural Shift,2040,texas,diesel,145000000000.0
Reference/business as usual,Agricultural Shift,2040,texas,hydrogen,168000000000.0
Reference/business as usual,Agricultural Shift,2040,texas,biodiesel,194000000000.0
Reference/business as usual,Agricultural Shift,2040,texas,catenary,188000000000.0
Reference/business as usual,Agricultural Shift,2040,texas,battery,178000000000.0
Reference/business as usual,Agricultural Shift,2045,california,diesel,150000000000.0
Reference/business as usual,Agricultural Shift,2045,california,hydrogen,193000000000.0
Reference/business as usual,Agricultural Shift,2045,california,biodiesel,154000000000.0
Reference/business as usual,Agricultural Shift,2045,california,catenary,178000000000.0
Reference/business as usual,Agricultural Shift,2045,california,battery,153000000000.0
Reference/business as usual,Agricultural Shift,2045,central,diesel,210000000000.0
Reference/business as usual,Agricultural Shift,2045,central,hydrogen,149000000000.0
Reference/business as usual,Agricultural Shift,2045,central,biodiesel,171000000000.0
Reference/business as usual,Agricultural Shift,2045,central,catenary,161000000000.0
Reference/business as usual,Agricultural Shift,2045,central,battery,171000000000.0
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,diesel,202000000000.0
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,hydrogen,205000000000.0
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,biodiesel,181000000000.0
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,catenary,186000000000.0
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,battery,202000000000.0
Reference/business as usual,Agricultural Shift,2045,north_central,diesel,173000000000.0
Reference/business as usual,Agricultural Shift,2045,north_central,hydrogen,175000000000.0
Reference/business as usual,Agricultural Shift,2045,north_central,biodiesel,202000000000.0
Reference/business as usual,Agricultural Shift,2045,north_central,catenary,180000000000.0
Reference/business as usual,Agricultural Shift,2045,north_central,battery,184000000000.0
Reference/business as usual,Agricultural Shift,2045,north_east,diesel,144000000000.0
Reference/business as usual,Agricultural Shift,2045,north_east,hydrogen,157000000000.0
Reference/business as usual,Agricultural Shift,2045,north_east,biodiesel,206000000000.0
Reference/business as usual,Agricultural Shift,2045,north_east,catenary,166000000000.0
Reference/business as usual,Agricultural Shift,2045,north_east,battery,163000000000.0
Reference/business as usual,Agricultural Shift,2045,north_west,diesel,198000000000.0
Reference/business as usual,Agricultural Shift,2045,north_west,hydrogen,212000000000.0
Reference/business as usual,Agricultural Shift,2045,north_west,biodiesel,209000000000.0
Reference/business as usual,Agricultural Shift,2045,north_west,catenary,187000000000.0
Reference/business as usual,Agricultural Shift,2045,north_west,battery,190000000000.0
Reference/business as usual,Agricultural Shift,2045,south_east,diesel,173000000000.0
Reference/business as usual,Agricultural Shift,2045,south_east,hydrogen,187000000000.0
Reference/business as usual,Agricultural Shift,2045,south_east,biodiesel,148000000000.0
Reference/business as usual,Agricultural Shift,2045,south_east,catenary,182000000000.0
Reference/business as usual,Agricultural Shift,2045,south_east,battery,161000000000.0
Reference/business as usual,Agricultural Shift,2045,south_west,diesel,163000000000.0
Reference/business as usual,Agricultural Shift,2045,south_west,hydrogen,181000000000.0
Reference/business as usual,Agricultural Shift,2045,south_west,biodiesel,170000000000.0
Reference/business as usual,Agricultural Shift,2045,south_west,catenary,146000000000.0
Reference/business as usual,Agricultural Shift,2045,south_west,battery,186000000000.0
Reference/business as usual,Agricultural Shift,2045,texas,diesel,146000000000.0
Reference/business as usual,Agricultural Shift,2045,texas,hydrogen,170000000000.0
Reference/business as usual,Agricultural Shift,2045,texas,biodiesel,203000000000.0
Reference/business as usual,Agricultural Shift,2045,texas,catenary,210000000000.0
Reference/business as usual,Agricultural Shift,2045,texas,battery,171000000000.0
Reference/business as usual,Agricultural Shift,2050,california,diesel,196000000000.0
Reference/business as usual,Agricultural Shift,2050,california,hydrogen,153000000000.0
Reference/business as usual,Agricultural Shift,2050,california,biodiesel,179000000000.0
Reference/business as usual,Agricultural Shift,2050,california,catenary,211000000000.0
Reference/business as usual,Agricultural Shift,2050,california,battery,186000000000.0
Reference/business as usual,Agricultural Shift,2050,central,diesel,165000000000.0
Reference/business as usual,Agricultural Shift,2050,central,hydrogen,174000000000.0
Reference/business as usual,Agricultural Shift,2050,central,biodiesel,148000000000.0
Reference/business as usual,Agricultural Shift,2050,central,catenary,191000000000.0
Reference/business as usual,Agricultural Shift,2050,central,battery,182000000000.0
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,diesel,160000000000.0
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,hydrogen,179000000000.0
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,biodiesel,145000000000.0
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,catenary,169000000000.0
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,battery,162000000000.0
Reference/business as usual,Agricultural Shift,2050,north_central,diesel,198000000000.0
Reference/business as usual,Agricultural Shift,2050,north_central,hydrogen,146000000000.0
Reference/business as usual,Agricultural Shift,2050,north_central,biodiesel,145000000000.0
Reference/business as usual,Agricultural Shift,2050,north_central,catenary,147000000000.0
Reference/business as usual,Agricultural Shift,2050,north_central,battery,202000000000.0
Reference/business as usual,Agricultural Shift,2050,north_east,diesel,179000000000.0
Reference/business as usual,Agricultural Shift,2050,north_east,hydrogen,175000000000.0
Reference/business as usual,Agricultural Shift,2050,north_east,biodiesel,197000000000.0
Reference/business as usual,Agricultural Shift,2050,north_east,catenary,144000000000.0
Reference/business as usual,Agricultural Shift,2050,north_east,battery,210000000000.0
Reference/business as usual,Agricultural Shift,2050,north_west,diesel,214000000000.0
Reference/business as usual,Agricultural Shift,2050,north_west,hydrogen,169000000000.0
Reference/business as usual,Agricultural Shift,2050,north_west,biodiesel,200000000000.0
Reference/business as usual,Agricultural Shift,2050,north_west,catenary,191000000000.0
Reference/business as usual,Agricultural Shift,2050,north_west,battery,153000000000.0
Reference/business as usual,Agricultural Shift,2050,south_east,diesel,204000000000.0
Reference/business as usual,Agricultural Shift,2050,south_east,hydrogen,162000000000.0
Reference/business as usual,Agricultural Shift,2050,south_east,biodiesel,160000000000.0
Reference/business as usual,Agricultural Shift,2050,south_east,catenary,149000000000.0
Reference/business as usual,Agricultural Shift,2050,south_east,battery,176000000000.0
Reference/business as usual,Agricultural Shift,2050,south_west,diesel,180000000000.0
Reference/business as usual,Agricultural Shift,2050,south_west,hydrogen,178000000000.0
Reference/business as usual,Agricultural Shift,2050,south_west,biodiesel,164000000000.0
Reference/business as usual,Agricultural Shift,2050,south_west,catenary,145000000000.0
Reference/business as usual,Agricultural Shift,2050,south_west,battery,171000000000.0
Reference/business as usual,Agricultural Shift,2050,texas,diesel,146000000000.0
Reference/business as usual,Agricultural Shift,2050,texas,hydrogen,203000000000.0
Reference/business as usual,Agricultural Shift,2050,texas,biodiesel,207000000000.0
Reference/business as usual,Agricultural Shift,2050,texas,catenary,176000000000.0
Reference/business as usual,Agricultural Shift,2050,texas,battery,212000000000.0
Reference/business as usual,business_as_usual,2025,california,diesel,197000000000.0
Reference/business as usual,business_as_usual,2025,california,hydrogen,189000000000.0
Reference/business as usual,business_as_usual,2025,california,biodiesel,171000000000.0
Reference/business as usual,business_as_usual,2025,california,catenary,204000000000.0
Reference/business as usual,business_as_usual,2025,california,battery,158000000000.0
Reference/business as usual,business_as_usual,2025,central,diesel,175000000000.0
Reference/business as usual,business_as_usual,2025,central,hydrogen,155000000000.0
Reference/business as usual,business_as_usual,2025,central,biodiesel,168000000000.0
Reference/business as usual,business_as_usual,2025,central,catenary,215000000000.0
Reference/business as usual,business_as_usual,2025,central,battery,176000000000.0
Reference/business as usual,business_as_usual,2025,middle_atlantic,diesel,208000000000.0
Reference/business as usual,business_as_usual,2025,middle_atlantic,hydrogen,173000000000.0
Reference/business as usual,business_as_usual,2025,middle_atlantic,biodiesel,202000000000.0
Reference/business as usual,business_as_usual,2025,middle_atlantic,catenary,183000000000.0
Reference/business as usual,business_as_usual,2025,middle_atlantic,battery,210000000000.0
Reference/business as usual,business_as_usual,2025,north_central,diesel,147000000000.0
Reference/business as usual,business_as_usual,2025,north_central,hydrogen,177000000000.0
Reference/business as usual,business_as_usual,2025,north_central,biodiesel,193000000000.0
Reference/business as usual,business_as_usual,2025,north_central,catenary,150000000000.0
Reference/business as usual,business_as_usual,2025,north_central,battery,179000000000.0
Reference/business as usual,business_as_usual,2025,north_east,diesel,145000000000.0
Reference/business as usual,business_as_usual,2025,north_east,hydrogen,144000000000.0
Reference/business as usual,business_as_usual,2025,north_east,biodiesel,162000000000.0
Reference/business as usual,business_as_usual,2025,north_east,catenary,179000000000.0
Reference/business as usual,business_as_usual,2025,north_east,battery,195000000000.0
Reference/business as usual,business_as_usual,2025,north_west,diesel,205000000000.0
Reference/business as usual,business_as_usual,2025,north_west,hydrogen,193000000000.0
Reference/business as usual,business_as_usual,2025,north_west,biodiesel,197000000000.0
Reference/business as usual,business_as_usual,2025,north_west,catenary,163000000000.0
Reference/business as usual,business_as_usual,2025,north_west,battery,149000000000.0
Reference/business as usual,business_as_usual,2025,south_east,diesel,169000000000.0
Reference/business as usual,business_as_usual,2025,south_east,hydrogen,190000000000.0
Reference/business as usual,business_as_usual,2025,south_east,biodiesel,177000000000.0
Reference/business as usual,business_as_usual,2025,south_east,catenary,199000000000.0
Reference/business as usual,business_as_usual,2025,south_east,battery,195000000000.0
Reference/business as usual,business_as_usual,2025,south_west,diesel,214000000000.0
Reference/business as usual,business_as_usual,2025,south_west,hydrogen,203000000000.0
Reference/business as usual,business_as_usual,2025,south_west,biodiesel,162000000000.0
Reference/business as usual,business_as_usual,2025,south_west,catenary,156000000000.0
Reference/business as usual,business_as_usual,2025,south_west,battery,176000000000.0
Reference/business as usual,business_as_usual,2025,texas,diesel,149000000000.0
Reference/business as usual,business_as_usual,2025,texas,hydrogen,195000000000.0
Reference/business as usual,business_as_usual,2025,texas,biodiesel,178000000000.0
Reference/business as usual,business_as_usual,2025,texas,catenary,198000000000.0
Reference/business as usual,business_as_usual,2025,texas,battery,209000000000.0
Reference/business as usual,business_as_usual,2030,california,diesel,210000000000.0
Reference/business as usual,business_as_usual,2030,california,hydrogen,184000000000.0
Reference/business as usual,business_as_usual,2030,california,biodiesel,169000000000.0
Reference/business as usual,business_as_usual,2030,california,catenary,147000000000.0
Reference/business as usual,business_as_usual,2030,california,battery,147000000000.0
Reference/business as usual,business_as_usual,2030,central,diesel,153000000000.0
Reference/business as usual,business_as_usual,2030,central,hydrogen,211000000000.0
Reference/business as usual,business_as_usual,2030,central,biodiesel,153000000000.0
Reference/business as usual,business_as_usual,2030,central,catenary,159000000000.0
Reference/business as usual,business_as_usual,2030,central,battery,159000000000.0
Reference/business as usual,business_as_usual,2030,middle_atlantic,diesel,151000000000.0
Reference/business as usual,business_as_usual,2030,middle_atlantic,hydrogen,209000000000.0
Reference/business as usual,business_as_usual,2030,middle_atlantic,biodiesel,180000000000.0
Reference/business as usual,business_as_usual,2030,middle_atlantic,catenary,199000000000.0
Reference/business as usual,business_as_usual,2030,middle_atlantic,battery,191000000000.0
Reference/business as usual,business_as_usual,2030,north_central,diesel,153000000000.0
Reference/business as usual,business_as_usual,2030,north_central,hydrogen,181000000000.0
Reference/business as usual,business_as_usual,2030,north_central,biodiesel,179000000000.0
Reference/business as usual,business_as_usual,2030,north_central,catenary,147000000000.0
Reference/business as usual,business_as_usual,2030,north_central,battery,172000000000.0
Reference/business as usual,business_as_usual,2030,north_east,diesel,167000000000.0
Reference/business as usual,business_as_usual,2030,north_east,hydrogen,167000000000.0
Reference/business as usual,business_as_usual,2030,north_east,biodiesel,180000000000.0
Reference/business as usual,business_as_usual,2030,north_east,catenary,202000000000.0
Reference/business as usual,business_as_usual,2030,north_east,battery,215000000000.0
Reference/business as usual,business_as_usual,2030,north_west,diesel,152000000000.0
Reference/business as usual,business_as_usual,2030,north_west,hydrogen,158000000000.0
Reference/business as usual,business_as_usual,2030,north_west,biodiesel,213000000000.0
Reference/business as usual,business_as_usual,2030,north_west,catenary,199000000000.0
Reference/business as usual,business_as_usual,2030,north_west,battery,188000000000.0
Reference/business as usual,business_as_usual,2030,south_east,diesel,197000000000.0
Reference/business as usual,business_as_usual,2030,south_east,hydrogen,145000000000.0
Reference/business as usual,business_as_usual,2030,south_east,biodiesel,158000000000.0
Reference/business as usual,business_as_usual,2030,south_east,catenary,184000000000.0
Reference/business as usual,business_as_usual,2030,south_east,battery,201000000000.0
Reference/business as usual,business_as_usual,2030,south_west,diesel,188000000000.0
Reference/business as usual,business_as_usual,2030,south_west,hydrogen,190000000000.0
Reference/business as usual,business_as_usual,2030,south_west,biodiesel,177000000000.0
Reference/business as usual,business_as_usual,2030,south_west,catenary,188000000000.0
Reference/business as usual,business_as_usual,2030,south_west,battery,214000000000.0
Reference/business as usual,business_as_usual,2030,texas,diesel,213000000000.0
Reference/business as usual,business_as_usual,2030,texas,hydrogen,198000000000.0
Reference/business as usual,business_as_usual,2030,texas,biodiesel,200000000000.0
Reference/business as usual,business_as_usual,2030,texas,catenary,191000000000.0
Reference/business as usual,business_as_usual,2030,texas,battery,198000000000.0
Reference/business as usual,business_as_usual,2035,california,diesel,156000000000.0
Reference/business as usual,business_as_usual,2035,california,hydrogen,211000000000.0
Reference/business as usual,business_as_usual,2035,california,biodiesel,211000000000.0
Reference/business as usual,business_as_usual,2035,california,catenary,208000000000.0
Reference/business as usual,business_as_usual,2035,california,battery,191000000000.0
Reference/business as usual,business_as_usual,2035,central,diesel,207000000000.0
Reference/business as usual,business_as_usual,2035,central,hydrogen,213000000000.0
Reference/business as usual,business_as_usual,2035,central,biodiesel,193000000000.0
Reference/business as usual,business_as_usual,2035,central,catenary,155000000000.0
Reference/business as usual,business_as_usual,2035,central,battery,189000000000.0
Reference/business as usual,business_as_usual,2035,middle_atlantic,diesel,208000000000.0
Reference/business as usual,business_as_usual,2035,middle_atlantic,hydrogen,163000000000.0
Reference/business as usual,business_as_usual,2035,middle_atlantic,biodiesel,200000000000.0
Reference/business as usual,business_as_usual,2035,middle_atlantic,catenary,175000000000.0
Reference/business as usual,business_as_usual,2035,middle_atlantic,battery,214000000000.0
Reference/business as usual,business_as_usual,2035,north_central,diesel,185000000000.0
Reference/business as usual,business_as_usual,2035,north_central,hydrogen,146000000000.0
Reference/business as usual,business_as_usual,2035,north_central,biodiesel,199000000000.0
Reference/business as usual,business_as_usual,2035,north_central,catenary,163000000000.0
Reference/business as usual,business_as_usual,2035,north_central,battery,146000000000.0
Reference/business as usual,business_as_usual,2035,north_east,diesel,158000000000.0
Reference/business as usual,business_as_usual,2035,north_east,hydrogen,191000000000.0
Reference/business as usual,business_as_usual,2035,north_east,biodiesel,202000000000.0
Reference/business as usual,business_as_usual,2035,north_east,catenary,202000000000.0
Reference/business as usual,business_as_usual,2035,north_east,battery,207000000000.0
Reference/business as usual,business_as_usual,2035,north_west,diesel,195000000000.0
Reference/business as usual,business_as_usual,2035,north_west,hydrogen,156000000000.0
