energy_system_scenario,freight_demand_scenario,year,region,technology,number_of_locomotives,number_of_tender_cars,locomotive_hours,tender_hours,cost_per_locomotive ($),cost_per_tender ($),cost_per_locomotive_hour ($),cost_per_tender_hour ($)
Reference/business as usual,Agricultural Shift,2025,north_west,battery,2907,8721,12727,38181,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,south_east,diesel,2524,0,11050,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,south_east,hydrogen,3034,3034,13283,13283,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,south_east,biodiesel,2329,0,10196,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,south_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,south_east,battery,2832,8496,12398,37195,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,south_west,diesel,3035,0,13287,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,south_west,hydrogen,2547,2547,11151,11151,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,south_west,biodiesel,2743,0,12009,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,south_west,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,south_west,battery,2307,6921,10100,30300,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,texas,diesel,3094,0,13546,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,texas,hydrogen,2237,2237,9794,9794,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,texas,biodiesel,2590,0,11339,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,texas,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,texas,battery,2903,8709,12709,38128,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,california,diesel,2535,0,11098,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,california,hydrogen,3271,3271,14320,14320,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,california,biodiesel,2372,0,10385,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,california,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,california,battery,2288,6864,10017,30051,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,central,diesel,2240,0,9807,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,central,hydrogen,2657,2657,11632,11632,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,central,biodiesel,3100,0,13572,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,central,battery,2857,8571,12508,37524,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,diesel,3262,0,14281,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,hydrogen,2452,2452,10735,10735,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,biodiesel,2649,0,11597,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,battery,2639,7917,11554,34661,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_central,diesel,3189,0,13961,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_central,hydrogen,2681,2681,11737,11737,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_central,biodiesel,2266,0,9921,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_central,battery,2779,8337,12166,36499,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_east,diesel,2530,0,11076,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_east,hydrogen,2496,2496,10927,10927,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_east,biodiesel,2303,0,10083,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_east,battery,2649,7947,11597,34792,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_west,diesel,3220,0,14097,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_west,hydrogen,2974,2974,13020,13020,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_west,biodiesel,2598,0,11374,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_west,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,north_west,battery,2967,8901,12990,38969,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,south_east,diesel,2775,0,12149,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,south_east,hydrogen,2520,2520,11033,11033,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,south_east,biodiesel,3153,0,13804,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,south_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,south_east,battery,2792,8376,12223,36670,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,south_west,diesel,2693,0,11790,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,south_west,hydrogen,2696,2696,11803,11803,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,south_west,biodiesel,2639,0,11554,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,south_west,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,south_west,battery,3040,9120,13309,39927,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,texas,diesel,2763,0,12096,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,texas,hydrogen,2857,2857,12508,12508,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,texas,biodiesel,2559,0,11203,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,texas,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2030,texas,battery,2975,8925,13025,39074,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,california,diesel,3204,0,14027,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,california,hydrogen,2904,2904,12714,12714,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,california,biodiesel,2765,0,12105,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,california,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,california,battery,2242,6726,9815,29446,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,central,diesel,3021,0,13226,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,central,hydrogen,2784,2784,12188,12188,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,central,biodiesel,3168,0,13870,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,central,battery,2422,7266,10604,31811,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,diesel,2665,0,11667,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,hydrogen,3222,3222,14106,14106,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,biodiesel,2944,0,12889,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,battery,2554,7662,11181,33544,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_central,diesel,2744,0,12013,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_central,hydrogen,3141,3141,13751,13751,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_central,biodiesel,2298,0,10061,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_central,battery,3102,9306,13581,40742,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_east,diesel,2626,0,11497,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_east,hydrogen,2437,2437,10669,10669,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_east,biodiesel,2212,0,9684,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_east,battery,2895,8685,12674,38023,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_west,diesel,2904,0,12714,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_west,hydrogen,2401,2401,10512,10512,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_west,biodiesel,2252,0,9859,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_west,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,north_west,battery,2201,6603,9636,28908,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,south_east,diesel,2807,0,12289,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,south_east,hydrogen,3272,3272,14325,14325,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,south_east,biodiesel,2688,0,11768,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,south_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,south_east,battery,2516,7548,11015,33045,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,south_west,diesel,2536,0,11103,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,south_west,hydrogen,2441,2441,10687,10687,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,south_west,biodiesel,2791,0,12219,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,south_west,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,south_west,battery,2264,6792,9912,29735,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,texas,diesel,2275,0,9960,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,texas,hydrogen,2825,2825,12368,12368,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,texas,biodiesel,3056,0,13379,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,texas,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2035,texas,battery,2883,8649,12622,37865,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,california,diesel,2805,0,12280,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,california,hydrogen,2443,2443,10695,10695,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,california,biodiesel,2785,0,12193,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,california,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,california,battery,2318,6954,10148,30445,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,central,diesel,2768,0,12118,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,central,hydrogen,2718,2718,11899,11899,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,central,biodiesel,2548,0,11155,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,central,battery,2885,8655,12631,37892,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,diesel,2285,0,10004,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,hydrogen,2845,2845,12455,12455,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,biodiesel,2915,0,12762,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,battery,2417,7251,10582,31745,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_central,diesel,3171,0,13883,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_central,hydrogen,2927,2927,12814,12814,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_central,biodiesel,2829,0,12385,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_central,battery,2668,8004,11681,35042,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_east,diesel,3080,0,13484,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_east,hydrogen,2480,2480,10857,10857,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_east,biodiesel,3253,0,14242,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_east,battery,2801,8403,12263,36788,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_west,diesel,3195,0,13988,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_west,hydrogen,2228,2228,9754,9754,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_west,biodiesel,2683,0,11746,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_west,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,north_west,battery,2296,6888,10052,30156,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,south_east,diesel,3179,0,13918,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,south_east,hydrogen,3212,3212,14062,14062,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,south_east,biodiesel,2971,0,13007,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,south_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,south_east,battery,2763,8289,12096,36289,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,south_west,diesel,2405,0,10529,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,south_west,hydrogen,2851,2851,12482,12482,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,south_west,biodiesel,2623,0,11483,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,south_west,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,south_west,battery,2887,8661,12639,37918,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,texas,diesel,2958,0,12950,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,texas,hydrogen,2811,2811,12307,12307,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,texas,biodiesel,2471,0,10818,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,texas,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2040,texas,battery,2828,8484,12381,37143,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,california,diesel,2655,0,11624,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,california,hydrogen,3169,3169,13874,13874,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,california,biodiesel,2453,0,10739,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,california,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,california,battery,2412,7236,10560,31679,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,central,diesel,3092,0,13537,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,central,hydrogen,2782,2782,12180,12180,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,central,biodiesel,2327,0,10188,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,central,battery,2888,8664,12644,37931,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,diesel,2936,0,12854,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,hydrogen,2798,2798,12250,12250,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,biodiesel,3094,0,13546,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,battery,2372,7116,10385,31154,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_central,diesel,2350,0,10288,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_central,hydrogen,2719,2719,11904,11904,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_central,biodiesel,2356,0,10315,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_central,battery,3248,9744,14220,42659,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_east,diesel,3226,0,14123,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_east,hydrogen,2896,2896,12679,12679,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_east,biodiesel,3100,0,13572,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_east,battery,2206,6618,9658,28974,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_west,diesel,2897,0,12683,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_west,hydrogen,2658,2658,11637,11637,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_west,biodiesel,2702,0,11829,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_west,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,north_west,battery,2243,6729,9820,29460,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,south_east,diesel,2766,0,12110,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,south_east,hydrogen,2900,2900,12696,12696,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,south_east,biodiesel,2870,0,12565,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,south_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,south_east,battery,3251,9753,14233,42699,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,south_west,diesel,2955,0,12937,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,south_west,hydrogen,2299,2299,10065,10065,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,south_west,biodiesel,2604,0,11400,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,south_west,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,south_west,battery,2558,7674,11199,33597,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,texas,diesel,2280,0,9982,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,texas,hydrogen,2424,2424,10612,10612,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,texas,biodiesel,2708,0,11856,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,texas,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2045,texas,battery,2627,7881,11501,34503,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,california,diesel,2446,0,10709,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,california,hydrogen,2669,2669,11685,11685,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,california,biodiesel,2387,0,10450,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,california,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,california,battery,2816,8448,12328,36985,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,central,diesel,2302,0,10078,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,central,hydrogen,2810,2810,12302,12302,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,central,biodiesel,2959,0,12955,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,central,battery,2485,7455,10879,32638,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,diesel,3103,0,13585,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,hydrogen,2729,2729,11948,11948,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,biodiesel,2790,0,12215,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,battery,2526,7578,11059,33176,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_central,diesel,3081,0,13489,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_central,hydrogen,2469,2469,10809,10809,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_central,biodiesel,2251,0,9855,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_central,battery,3113,9339,13629,40886,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_east,diesel,2433,0,10652,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_east,hydrogen,2670,2670,11689,11689,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_east,biodiesel,2958,0,12950,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_east,battery,3204,9612,14027,42081,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_west,diesel,2953,0,12928,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_west,hydrogen,2239,2239,9802,9802,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_west,biodiesel,3067,0,13427,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_west,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2050,north_west,battery,2649,7947,11597,34792,3500000,190000,93.09,23.27
